question_id,title,paragraph_id,question,ans_1,ans_2,ans_3,question_id_unique,
23,Super_Bowl_50,1,Quelle équipe était la championne NFC ?,le Carolina Panthers,Carolina Panthers,Carolina Panthers,56d20362e7d4791d009025ea,
24,Super_Bowl_50,1,Qui a remporté le Super Bowl 50 ?,Le Denver Broncos,Denver Broncos,Denver Broncos,56d20362e7d4791d009025eb,
25,Super_Bowl_50,1,En quelle année était le Super Bowl 50 ?,2015,2015,2015,56d600e31c85041400946eae,
26,Super_Bowl_50,1,Qui a remporté le Super Bowl 50 ?,Le Denver Broncos,Denver Broncos,Denver Broncos,56d600e31c85041400946eb0,
27,Super_Bowl_50,1,A quel endroit le Super Bowl 50 a-t-il eu lieu ?,Santa Clara,Levi's Stadium,Levi's Stadium,56d600e31c85041400946eb1,
28,Super_Bowl_50,1,Le nom du jeu de championnat NFL est?,Super Bowl,Super Bowl,Super Bowl,56d9895ddc89441400fdb50e,
29,Super_Bowl_50,1,Quelle équipe de la NFL a représenté l'AFC au Super Bowl 50 ?,Le Denver Broncos,Denver Broncos,Denver Broncos,56d9895ddc89441400fdb510,
30,Warsaw,1,De quoi Maria Curie a-t-elle été la première femme à recevoir ?,prix Nobel,prix Nobel,prix Nobel,5733a5f54776f41900660f45,
31,Warsaw,1,En quelle année Casimir Pulaski est-il né à Varsovie ?,1745,1745,1745,5733a5f54776f41900660f48,
32,Warsaw,1,Qui était l'un des personnages les plus célèbres nés à Varsovie ?,Maria Skłodowska-Curie,Maria Skłodowska-Curie,Maria Skłodowska-Curie,5733a5f54776f41900660f44,
33,Warsaw,1,Qui était Frédéric Chopin ?,Musiciens célèbres,Musiciens,Musiciens célèbres,5733a5f54776f41900660f46,
34,Warsaw,1,Quel âge avait Chopin quand il a déménagé à Warsaw avec sa famille ?,âgé de sept mois,âgé de sept mois,âgé de sept mois,5733a5f54776f41900660f47,
35,Normans,1,Dans quel pays se trouve la Normandie ?,France,France,France,56ddde6b9a695914005b9628,
36,Normans,1,Quand les Normands étaient en Normandie ?,"10ème et 11ème siècles,","10ème et 11ème siècles,","10ème et 11ème siècles,",56ddde6b9a695914005b9629,
37,Normans,1,De quels pays les Norvégiens proviennent ?,"Danemark, l’Islande et la Norvège","Danemark, l’Islande et la Norvège","Danemark, l’Islande et la Norvège",56ddde6b9a695914005b962a,
38,Normans,1,Qui était le chef nordique ?,Rollo,Rollo,Rollo,56ddde6b9a695914005b962b,
39,Normans,1,Quel siècle les Normands ont-ils acquis pour la première fois leur identité distincte?,10ème siècle,la première moitié du 10ème siècle,10ème,56ddde6b9a695914005b962c,
40,Nikola_Tesla,1,En quelle année Nikola Tesla est-il né ?,1856,1856,1856,56df9e2838dc4217001520f6,
41,Nikola_Tesla,1,De quel groupe ethnique était Nikola Tesla ?,serbe,serbe,serbe,56df9e2838dc4217001520f8,
42,Nikola_Tesla,1,En quelle année Tesla est-il mort ?,1943,1943,1943,56df9e2838dc4217001520f9,
43,Nikola_Tesla,1,Quand Nikola Tesla est-il né ?,1856,1856,1856,56e0b94b7aa994140058e6b7,
44,Nikola_Tesla,1,En quelle année Tesla est-il mort ?,1943,1943,1943,56e0b94b7aa994140058e6b8,
45,Nikola_Tesla,1,Quel est le pays natal de Tesla ?,serbe,serbe,serbe,56e0b94b7aa994140058e6b9,
46,Nikola_Tesla,1,Que signifire AC pour ?,courant alternatif.,courant alternatif.,courant alternatif.,56e0b94b7aa994140058e6bb,
47,Computational_complexity_theory,1,Quelle est la branche de l'informatique théorique qui a pour objet de classer les problèmes de computation par difficulté et par classe de relation ?,La théorie de la complexité computationnelle,La théorie de la complexité computationnelle,théorie de la complexité computationnelle,56e16182e3433e1400422e28,
48,Computational_complexity_theory,1,Par quel attribut principal les problèmes computationnels sont-ils classés en se basant sur la théorie de la complexité computationnelle ?,difficulté inhérente,difficulté inhérente,difficulté inhérente,56e16182e3433e1400422e29,
49,Computational_complexity_theory,1,Quel est le terme pour une tâche qui se prête généralement à être résolue par un ordinateur?,problèmes de calcul,Un problème de calcul,problème de calcul,56e16182e3433e1400422e2a,
50,Teacher,1,Comment s'appelle un programme d'études ?,le curriculum.,curriculum,curriculum,56e7477700c9c71400d76f23,
51,Teacher,1,Quel autre nom peut décrire la science de l'enseignement ?,pédagogie,pédagogie,pédagogie,56e7477700c9c71400d76f24,
52,Teacher,1,D'où la plupart des enseignants obtiennent-ils leurs titres de compétence ?,université ou d'un collège,université,université ou d'un collège,56e7477700c9c71400d76f25,
53,Teacher,1,Qu'est-ce qu'un enseignant peut employer pour aider ses élèves à apprendre ?,plan de leçon,plan de leçon,plan de leçon,56e7477700c9c71400d76f26,
54,Teacher,1,Où un enseignant est plus susceptible d'enseigner ?,école,école,école,56e7477700c9c71400d76f27,
55,Martin_Luther,1,De quelle nationalité était Martin Luther ?,Allemand,Allemand,Allemand,56f7c651aef2371900625bf5,
56,Martin_Luther,1,Quand Martin Luther est-il mort ?,18 Février 1546,1546,1546,56f7c651aef2371900625bf6,
57,Martin_Luther,1,Enseignement de quelle organisation Luther a-t-il rejeté ?,l'église Catholique,l'église Catholique de la fin de l'ére médiévale,l'église Catholique de la fin de l'ére médiévale,56f7c651aef2371900625bf7,
58,Martin_Luther,1,Que prétendait l'Église peut être évité avec de l'argent ?,pardon de Dieu pour ses péchés,pardon de Dieu pour ses péchés,pardon de Dieu,56f7c651aef2371900625bf8,
59,Martin_Luther,1,Qu'a fait l'Église lorsque Luther a refusé de rétracter ses écrits ?,excommunication,excommunication,excommunication,56f7c651aef2371900625bf9,
60,Southern_California,1,Comment la Californie du Sud est-elle souvent abrégée ?,SoCal,SoCal,SoCal,5705e26d75f01819005e76d4,
61,Southern_California,1,"En dépit d'être traditionnel décrit comme « huit comtés », combien de comtés cette région a-t-elle réellement?",10 comtés,10,10,5705e26d75f01819005e76d5,
62,Southern_California,1,Quelle est l'importance majeure de la Californie du Sud en relation avec la Californie et les États-Unis ?,centre économique,centre économique majeur,centre économique majeur,5705e26d75f01819005e76d6,
63,Southern_California,1,Quels sont les liens qui décrivent le mieux les huit comtés?,données démographiques et économiques,économiques,démographiques et économiques,5705e26d75f01819005e76d7,
64,Southern_California,1,Les raisons pour lesquelles les deux comtés doivent être ajoutés sont basées sur quoi?,divisions politiques historiques,divisions politiques historiques,divisions politiques historiques,5705e26d75f01819005e76d8,
65,Sky_(United_Kingdom),1,Quelle est la société formée par la fusion de Sky Television et de British Satellite Broadcasting ?,BSkyB,BSkyB,BSkyB,57092322efce8f15003a7db0,
66,Sky_(United_Kingdom),1,Qui est la plus grande société de télévision numérique par abonnement du Royaume-Uni ?,BSkyB,BSkyB,BSkyB,57092322efce8f15003a7db1,
67,Sky_(United_Kingdom),1,en quelle année BSkyB a-t-elle acquis Sky Italia ?,2014,2014,2014,57092322efce8f15003a7db2,
68,Sky_(United_Kingdom),1,Quel est le nom de la société tenante de BSkyB ?,Sky plc,British Sky Broadcasting Group Inc,British Sky Broadcasting Group Inc,57092322efce8f15003a7db3,
69,Sky_(United_Kingdom),1,Quel est le nom de l'opération britannique de BSkyB ?,Sky UK Limited,Sky UK Limited,Sky UK Limited,57092322efce8f15003a7db4,
70,Victoria_(Australia),1,Quelle est la nature de l'économie de Victoria ?,diversifiée,fortement diversifiée,fortement diversifiée,570d2417fed7b91900d45c3d,
71,Victoria_(Australia),1,"ù selon le produit brut de l'Etat, Victoria se classe-t-elle en Australie?",second,second,second,570d2417fed7b91900d45c3e,
72,Victoria_(Australia),1,À quel rang le PSG par habitant établit Victoria ?,quatrièmement,quatrièmement,quatrièmement,570d2417fed7b91900d45c3f,
73,Victoria_(Australia),1,Quelle ville de Victoria est appelée la capitale sportive de l'Australie ?,Melbourne,Melbourne,Melbourne,570d2417fed7b91900d45c40,
74,Victoria_(Australia),1,Quel est le plus grand stade d'Australie ?,The Melbourne Cricket Ground,Melbourne Cricket Ground,Melbourne Cricket Ground,570d2417fed7b91900d45c41,
75,Huguenot,1,Où la population huguenote française était-elle largement centrée ?,sud et centre de la France,le sud et centre de la France,le sud et centre de la France,57105da9a58dae1900cd699e,
76,Huguenot,1,Quelle était la proportion d'huguenots par rapport aux catholiques à leur apogée ?,environ un huitieme le nombre,environ un huitieme,environ un huitieme,57105da9a58dae1900cd699f,
77,Huguenot,1,Quand les guerres de religion ont-elles été livrées ?,de 1562 à 1598,1562 à 1598,1562 à 1598,57105da9a58dae1900cd69a0,
78,Huguenot,1,Quel traité a mis fin aux guerres de religion ?,l’édit de Nantes,édit de Nantes,l’édit de Nantes,57105da9a58dae1900cd69a1,
79,Huguenot,1,Qu'est-ce que cet accord a fait ?,"accordé l’autonomie religieuse, politique et militaire renforcée de Huguenots","accordé l’autonomie religieuse, politique et militaire renforcée de Huguenots","accordé l’autonomie religieuse, politique et militaire renforcée de Huguenots.",57105da9a58dae1900cd69a2,
80,Steam_engine,1,"Avec la géothermie et le nucléaire, qu'est-ce qu'une notable source de chaleur non-combustible ?",solaire,l’énergie solaire,solaire,57112686b654c5140001fbd3,
81,Steam_engine,1,Quel cycle thermodynamique idéal analyse le processus de fonctionnement des machines à vapeur?,Rankine,cycle de Rankine,cycle de Rankine,57112686b654c5140001fbd4,
82,Steam_engine,1,"Dans le cycle de Rankine, que devient l'eau lorsqu'elle est chauffée ?",vapeur,vapeur,vapeur,57112686b654c5140001fbd5,
83,Steam_engine,1,"Dans le cycle de Rankine, à quelle pression l'eau est-elle chauffée ?",très forte,forte,pression très forte,57112686b654c5140001fbd6,
84,Steam_engine,1,Quels types de moteurs sont les moteurs à vapeur ?,combustion externe,combustion externe,combustion externe,57112686b654c5140001fbd7,
85,Oxygen,1,Le numéro atomique de l'oxygène dans le tableau périodique ?,8,8,8,571a484210f8ca1400304fbd,
86,Oxygen,1,Quel est le second élément le plus abondant ?,l’hélium,hélium,l’hélium,571a484210f8ca1400304fbe,
87,Oxygen,1,Combien d'atomes se combinent pour former du dioxygène ?,deux atomes,deux,deux,571a484210f8ca1400304fc0,
88,Oxygen,1,De combien d'oxygène se compose la croûte terrestre ?,près de la moitié,près de la moitié,moitié,571a484210f8ca1400304fc1,
89,Oxygen,1,"Quel gaz occupe 20,8 % de l'atmosphère terrestre ?",L'oxygène gazeux diatomique,L'oxygène gazeux diatomique,oxygène gazeux diatomique,571a484210f8ca1400304fbf,
90,Oxygen,1,Combien de l'atmosphère terrestre représente l'oxygène diatomique ?,"20,8%","20,8%","20,8%",571bb2269499d21900609ca9,
91,Oxygen,1,Quel élément constitue près de la moitié de la croûte terrestre en masse?,L'oxygène,oxygène,oxygène,571bb2269499d21900609caa,
92,Oxygen,1,Quel est le numéro atomique de l'oxygène ?,8,8,8,571bb2269499d21900609cab,
93,Oxygen,1,"Est-ce que les niveaux d'oxygène dans l'atmosphère augmentent, diminuent ou restent les mêmes ?",surveillance de l’oxygène atmosphérique niveaux Voir l’une tendance mondiale à la baisse,baisse,baisse,571bb2269499d21900609cad,
94,Oxygen,1,En quoi consistent les trois éléments les plus abondants de l'univers ?,"L’oxygène est l’élément abondant dans l’univers, le troisième plus après l’hydrogène et l’hélium.","L’oxygène est l’élément abondant dans l’univers, le troisième plus après l’hydrogène et l’hélium.","L’oxygène est l’élément abondant dans l’univers, le troisième plus après l’hydrogène et l’hélium.",571bb2269499d21900609cac,
95,Oxygen,1,Quel est le numéro atomique de l'oxygène ?,8,8,8,571c3a685efbb31900334db2,
96,Oxygen,1,De quel groupe du tableau périodique l'oxygène est-il un membre ?,groupe chalcogène,chalcogène,chalcogène,571c3a685efbb31900334db3,
97,Oxygen,1,Quel type de composés l'oxygène forme le plus souvent ?,oxydes,oxydes,oxydes,571c3a685efbb31900334db4,
98,Oxygen,1,"Par rapport à d'autres éléments, quelle est la place de l'oxygène?",le troisième plus après l’hydrogène et l’hélium,troisième,troisième,571c3a685efbb31900334db5,
99,Oxygen,1,"Sous des conditions normales, que forment deux atomes d'oxygène ?",dioxygène,dioxygène,dioxygène,571c3a685efbb31900334db6,
100,1973_oil_crisis,1,Quand la crise pétrolière de 1973 a-t-elle débuté ?,octobre 1973,octobre 1973,octobre 1973,5725b33f6a3fe71400b8952d,
101,1973_oil_crisis,1,"En mars 1974, quel était le prix du pétrole ?",3 dollars le baril à près de 12 dollars,12 dollars,12 dollars,5725b33f6a3fe71400b8952e,
102,1973_oil_crisis,1,Quand la deuxième crise pétrolière a-t-elle eu lieu ?,1979,1979,1979,5725b33f6a3fe71400b8952f,
103,1973_oil_crisis,1,Quel autre terme a été utilisé pour désigner la crise pétrolière ?,premier choc pétrolie,premier choc pétrolie,choc,5725b33f6a3fe71400b89530,
104,1973_oil_crisis,1,Qui a décrété l'embargo pétrolier ?,"membres de l'Organisation des pays arabes exportateurs de pétrole (OPAEP, composé des Etats arabes membres de l'OPEP et l'Égypte et la Syrie)","l'Organisation des pays arabes exportateurs de pétrole (OPAEP, composé des Etats arabes membres de l'OPEP et l'Égypte et la Syrie)",Organisation des pays arabes exportateurs de pétrole,5725b33f6a3fe71400b89531,
105,Apollo_program,1,Quel projet a mis les premiers Américains dans l'espace ?,Programme Mercury,projet Gemini,Programme Mercury,5725b41838643c19005acb7f,
106,Apollo_program,1,Quel programme a été créé pour mener à bien ces projets et missions?,National Aeronautics and Space Administration (NASA),Le programme Apollo,programme Apollo,5725b41838643c19005acb80,
107,Apollo_program,1,En quelle année a eu lieu le tout premier vol habité d'Apollo ?,1968,1969,1962,5725b41838643c19005acb81,
108,Apollo_program,1,Quel président est crédité de la notion originale de mettre les Américains dans l'espace?,Dwight D.Eisenhower,John F.Objectif,John F.Objectif national de Kennedy,5725b41838643c19005acb82,
109,Apollo_program,1,Combien de personnes ont fait partie du projet qui a suivi le projet Mercury ?,deux,deux,deux,5725b41838643c19005acb83,
110,European_Union_law,1,Quelles sont les trois sources du droit de l'Union Européenne ?,"primaire, secondaire et droit supplétif","de droit primaire, secondaire et droit supplétif","de droit primaire, secondaire et droit supplétif",5725b7f389a1e219009abd5c,
111,European_Union_law,1,Qu'est-ce que le droit de l'Union Européenne ?,"un ensemble de traités et lois, telles que les règlements et Directives, qui ont l’effet direct ou indirect sur les législations des États membres de l’Union européenne.","un ensemble de traités et lois, telles que les règlements et Directives",un ensemble de traités et lois,5725b7f389a1e219009abd5d,
112,European_Union_law,1,Quelles sont les principales sources du droit primaire?,les traités instituant l'Union européenne,traités instituant l'Union européenne,"de droit primaire, secondaire et droit supplétif",5725b7f389a1e219009abd5e,
113,European_Union_law,1,Quelles sont les sources secondaires du droit primaire?,règlements et les directives basés sur les traités,règlements et les directives basés sur les traités,règlements et les directives,5725b7f389a1e219009abd5f,
114,European_Union_law,1,Quels sont les deux organes qui composent le pouvoir législatif de l'Union Européenne ?,Parlement européen et du Conseil de l'Union européenne,Parlement européen et du Conseil de l'Union européenne,Parlement européen et du Conseil de l'Union européenne,5725b7f389a1e219009abd60,
115,European_Union_law,1,Qu'est-ce que le droit de l'Union européenne?,"un ensemble de traités et lois","un ensemble de traités et lois, telles que les règlements et Directives","un ensemble de traités et lois, telles que les règlements et Directives, qui ont l’effet direct ou indirect sur les législations des États membres de l’Union européenne.",5725c28a271a42140099d14d,
116,European_Union_law,1,Quel effet le droit de l'Union Européenne a-t-il sur les lois des États membres ?,direct ou indirect,direct ou indirect,l’effet direct ou indirect,5725c28a271a42140099d14e,
117,European_Union_law,1,Quelles sont les trois sources du droit de l'Union Européenne ?,"primaire, secondaire et droit supplétif","de droit primaire, secondaire et droit supplétif","de droit primaire, secondaire et droit supplétif",5725c28a271a42140099d14f,
118,European_Union_law,1,Quels sont les principaux organes législatifs de l'Union Européenne ?,Parlement européen et du Conseil de l'Union européenne,Parlement européen et du Conseil de l'Union européenne,Parlement européen et du Conseil de l'Union européenne,5725c28a271a42140099d150,
119,European_Union_law,1,Quelles sont les trois sources du droit de l'Union Européenne ?,"primaire, secondaire et droit supplétif","de droit primaire, secondaire et droit supplétif","de droit primaire, secondaire et droit supplétif",57268b43dd62a815002e88f0,
120,European_Union_law,1,Quelles sont les principales sources du droit primaire?,traités instituant l'Union européenne,traités instituant l'Union européenne,"de droit primaire, secondaire et droit supplétif",57268b43dd62a815002e88f1,
121,European_Union_law,1,Quels sont les principaux organes législatifs de l'Union Européenne ?,Parlement européen et du Conseil de l'Union européenne,Parlement européen et du Conseil de l'Union européenne,Parlement européen et du Conseil de l'Union européenne,57268b43dd62a815002e88f2,
122,European_Union_law,1,Combien y a-t-il de sources de droit de l'Union européenne ?,trois,trois,trois,57268b43dd62a815002e88f3,
123,Amazon_rainforest,1,Quel nom est également utilisé pour décrire la forêt amazonienne en anglais ?,également connue en anglais sous le nom d'Amazonie ou de la jungle amazonienne,jungle amazonienne,Amazonie,5725b81b271a42140099d097,
124,Amazon_rainforest,1,Combien de kilomètres carrés de forêt tropicale sont couverts dans le bassin ?,"5,500,000","5,500,000 kilomètres","5,500,000 kilomètres",5725b81b271a42140099d098,
125,Amazon_rainforest,1,Combien de nations contrôlent cette région au total ?,"La majorité de la forêt se trouve au Brésil, 60 % de la forêt tropicale, suivie par le Pérou avec 13 %, la Colombie avec 10 % et avec des quantités mineures au Venezuela, Équateur, Bolivie,",neuf nations,neuf,5725b81b271a42140099d099,
126,Amazon_rainforest,1,"Combien de nations contiennent « Amazonas » dans leurs noms?",quatre,quatre,quatre,5725b81b271a42140099d09a,
127,Amazon_rainforest,1,Quel pourcentage l'Amazonie représente dans les forêts tropicales de la planète ?,plus de la moitié des forêts tropicales restantes de la planète,plus de la moitié,plus de la moitié,5725b81b271a42140099d09b,
128,Amazon_rainforest,1,Quel est le mot néerlandais pour la forêt amazonienne?,Amazoneregenwoud,Amazoneregenwoud,Amazoneregenwoud,5728349dff5b5019007d9efe,
129,Amazon_rainforest,1,Quelle forêt tropicale couvre la majorité du bassin amazonien en Amérique du Sud ?,La forêt amazonienne,forêt amazonienne,amazonienne,5728349dff5b5019007d9eff,
130,Amazon_rainforest,1,Dans quel pays peut-on trouver la plus grande partie de la forêt amazonienne ?,Brésil,Brésil,Brésil,5728349dff5b5019007d9f00,
131,Amazon_rainforest,1,Quel pourcentage l'Amazonie représente dans les forêts tropicales de la planète ?,plus de la moitié,plus de la moitié,plus de la moitié,5728349dff5b5019007d9f01,
132,Amazon_rainforest,1,Combien d'espèces d'arbres peut-on trouver dans la forêt amazonienne ?,"16,000","16,000","16,000",5728349dff5b5019007d9f02,
133,Amazon_rainforest,1,Quelle est la forêt amazonienne ?,forêt de feuillus humide,humide,humide,5729e2316aef0514001550c4,
134,Amazon_rainforest,1,Quelle est la superficie du bassin amazonien ?,"7,000,000 kilomètres carrés (2,700,000 milles carrés)","7,000,000 kilomètres carrés","7,000,000 kilomètres",5729e2316aef0514001550c5,
135,Amazon_rainforest,1,Combien y a-t-il de nations dans le bassin amazonien ?,neuf,neuf,neuf,5729e2316aef0514001550c6,
136,Amazon_rainforest,1,Quelle nation contient la majorité de la forêt amazonienne?,Brésil,Brésil,Brésil,5729e2316aef0514001550c7,
137,Amazon_rainforest,1,Quelle est l'estimation de la quantité d'espèces d'arbres dans la forêt tropicale amazonienne?,"16,000 espèces","16,000","16,000",5729e2316aef0514001550c8,
138,Ctenophora,1,Qu'est-ce qu'on appelle communément Ctenophora?,gelées de peigne,gelées de peigne,gelées de peigne,5725b9db38643c19005acbe1,
139,Ctenophora,1,Où vit Ctenophora?,les eaux marines dans le monde entier,les eaux marines dans le monde entier.,eaux marines,5725b9db38643c19005acbe2,
140,Ctenophora,1,Quelle est la taille de la Ctenophora adulte?,"1,5 m (4 pi 11 po)","1,5 m (4 pi 11 po)","quelques millimètres à 1,5 m",5725b9db38643c19005acbe3,
141,Ctenophora,1,Qu'est-ce qu'une cténophore?,un embranchement d’animaux,un embranchement d’animaux,un embranchement d’animaux,5725c0f289a1e219009abdf2,
142,Ctenophora,1,Qu'est-ce que la cténophore utilise pour nager?,cils,cils,« peignes » – groupes de cils,5725c0f289a1e219009abdf3,
143,Ctenophora,1,Qu'est-ce que la cténophore utilise pour la digestion et la respiration?,l'écoulement de l'eau à travers la cavité,écoulement de l'eau à travers la cavité,écoulement de l'eau,5725c0f289a1e219009abdf4,
144,Ctenophora,1,Quelle est la taille de la cténophore?,"quelques millimètres à 1,5 m","quelques millimètres à 1,5 m (4 pi 11 po)","1,5 m",5725c0f289a1e219009abdf5,
145,Ctenophora,1,Quelle est la caractéristique la plus distinctive de la cténophore?,« peignes » – groupes de cils,peignes,peignes,5725c0f289a1e219009abdf6,
146,Ctenophora,1,Quels sont les cténophores communément appelés ctenophora?,gelées de peigne,gelées de peigne,gelées de peigne,57263eaa38643c19005ad371,
147,Ctenophora,1,Quelle est la taille de la cténophore?,"1,5 m (4 pi 11 po)","1,5 m (4 pi 11 po)","quelques millimètres à 1,5 m (4 pi 11 po)",57263eaa38643c19005ad372,
148,Ctenophora,1,Sur quoi repose la cténophore pour la digestion et la respiration?,kteis au peigne et φέρω pherō carry,kteis au peigne et φέρω pherō carry,kteis au peigne et φέρω pherō carry,57263eaa38643c19005ad373,
149,Ctenophora,1,Que signifie ctenophora en grec?,kteis au peigne et φέρω pherō carry,kteis au peigne et φέρω pherō carry,kteis au peigne et φέρω pherō carry,57263eaa38643c19005ad374,
150,Ctenophora,1,Où vit Ctenophora?,eaux marines,les eaux marines dans le monde entier,eaux marines,57263eaa38643c19005ad375,
151,"Fresno,_California",1,Quelle est la cinquième plus grande ville de Californie?,Fresno,Fresno,Fresno,5725ce4d38643c19005acd4d,
152,"Fresno,_California",1,Fresno est loin de Los Angeles?,220 miles (350 km),220 miles (350 km),220 miles (350 km),5725ce4d38643c19005acd4e,
153,"Fresno,_California",1,Que signifie le nom Fresno en espagnol?,frêne,frêne,frêne,5725ce4d38643c19005acd4f,
154,"Fresno,_California",1,Qu'est-ce qui figure sur le drapeau de la ville de Fresno's?,feuille de frêne,feuille de frêne,feuille de frêne,5725ce4d38643c19005acd50,
155,"Fresno,_California",1,Comment prononcez-vous Fresno?,(/ˈfrɛznoʊ/ FREZ-noh),FREZ-noh,FREZ-noh,5725ce4d38643c19005acd51,
156,Packet_switching,1,Qu'est-ce que Paul Baran a développé?,Paul Baran a développé le concept le Bloc de Message Adaptable Distribué Échangeant,le concept le Bloc de Message Adaptable Distribué Échangeant,Bloc de Message Adaptable Distribué Échangeant,5725d34089a1e219009abf50,
157,Packet_switching,1,Qu'est-ce que la commutation adaptative distribuée de blocs de messages a fait?,fournir une méthode routing tolérante de faute,fournir une méthode routing tolérante de faute,méthode routing tolérante de faute,5725d34089a1e219009abf51,
158,Packet_switching,1,Qu'est-ce qui contredit ce concept?,Ce concept a mis en contraste et a contredit des principes établis du theretofore de pré-allocation de bande de fréquence de réseau,theretofore de pré-allocation de bande de fréquence de réseau,principes établis du theretofore de pré-allocation de bande de fréquence de réseau,5725d34089a1e219009abf52,
159,Packet_switching,1,Qu'est-ce qui est attribué à Donald Davies?,On attribue Davies le fait de forger la commutation de paquets de nom moderne et le fait d'inspirer de nombreux réseaux de commutation de paquets en Europe,le fait de forger la commutation de paquets de nom moderne et le fait d'inspirer de nombreux réseaux de commutation,le fait de forger la commutation de paquets de nom moderne et le fait d'inspirer de nombreux réseaux de commutation,5725d34089a1e219009abf53,
160,Packet_switching,1,Qu'est-ce que Paul Baran a développé à la fin des années 1950?,le concept le Bloc de Message Adaptable Distribué Échangeant,le concept le Bloc de Message Adaptable Distribué Échangeant,Bloc de Message Adaptable Distribué Échangeant,572632ceec44d21400f3dc2f,
161,Packet_switching,1,Quel était le but du système?,fournir une méthode routing tolérante de faute,fournir une méthode routing tolérante de faute,fournir une méthode routing tolérante de faute,572632ceec44d21400f3dc30,
162,Packet_switching,1,Qui est crédité du nom moderne de ce système?,On attribue Davies le fait de forger la commutation de paquets de nom moderne et le fait d'inspirer de nombreux réseaux de commutation de paquets en Europe,Donald Davies,Donald Davies,572632ceec44d21400f3dc31,
